term,description,category,subcategory,lang
"Иткөйлек","Жаңа туған балаға қырқынан шығарылғанша кигізетін, тігісі сыртына қараған көйлек.","Тауарлар","Балаларға арналған тауарлар","kk"
"Бесік арба","Бесік – қазақы ортада нәрестені бөлеуге арналып жасалған ағаш төсек. Арба – бесік сияқты бала жататын төсекше орнатылған төрт доңғалақты арбаша.","Тауарлар","Балаларға арналған тауарлар","kk"
"Бесік көрпе","Бесік – қазақы ортада нәрестені бөлеуге арналып жасалған ағаш төсек. Көрпе – нәрестенің бесігіне жабатын көрпе.","Тауарлар","Балаларға арналған тауарлар","kk"
"Тізебау","Бесіктегі баланың тізесінің үстін бастыра байлайтын бау.","Тауарлар","Балаларға арналған тауарлар","kk"
"Биялай (қолғап)","Қолға киетін қыстық қолғап.","Тауарлар","Балаларға арналған тауарлар","kk"
"Кеуде күртеше","Жеңі жоқ кеудеге киетін киім","Тауарлар","Балаларға арналған тауарлар","kk"
"Құстөсек","Балаларға арналған жұмсақ, ыңғайлы төсек.","Тауарлар","Балаларға арналған тауарлар","kk"
"Шүмек","Бесіктегі баланың кіші дәреті үшін қойдың асық жілігінен бір басы тесіліп, екінші басының төменгі жаны ойылып жасалған түтікше.","Тауарлар","Балаларға арналған тауарлар","kk"
"Түбек","Сәбиді бесікке бөлегенде жаялығы былғанып қалмас үшін ортасындағы тақтайды тесіп орналатын алмалы-салмалы киіз қалта.","Тауарлар","Балаларға арналған тауарлар","kk"
"Башмақай","Сәбилердің жұқа былғарыдан тігілген немесе жүннен тоқылған жұмсақ табанды аяқ киімі, үй ішінде киетін өкшесіз жеңіл аяқ киім.","Тауарлар","Балаларға арналған тауарлар","kk"
"Бесік ойыншығы","Нәрестелерге арналған, бесіктің ішіне ілінетін жеңіл, көбіне түсті, дыбыс шығаратын немесе қозғалатын ойыншық.","Тауарлар","Балаларға арналған тауарлар","kk"
"Мәшине мен тікұшақ ойыншықтары","Қозғалыстағы ойыншық түрі.","Тауарлар","Балаларға арналған тауарлар","kk"
"Қуыршақ","Қыз, бойжеткен, кішкентай бала бейнесіндегі қыз балалар ойыншығы.","Тауарлар","Балаларға арналған тауарлар","kk"
"Белсебет","Аяқпен жүргізетін екі я үш дөңгелекті жеңіл көлік түрі.","Тауарлар","Балаларға арналған тауарлар","kk"
"Санамақ ойыншық","Қазақтың жас балаларға (4–7 жас) арналған, санауға үйрететін ұлттық ойында қолданылатын ойыншық түрі.","Тауарлар","Балаларға арналған тауарлар","kk"
"Тақия","Кестелеп, сырып жасалған дөңгелек, жеңіл бас киім.","Тауарлар","Балаларға арналған тауарлар","kk"
"Күрте","Жеңі бар қалың киім.","Тауарлар","Балаларға арналған тауарлар","kk"
"Етік","Былғарыдан жасалған қонышы ұзын аяқ киім.","Тауарлар","Балаларға арналған тауарлар","kk"
"Күрме","Шолақ етекті, жеңсіз кеудеше","Тауарлар","Балаларға арналған тауарлар","kk"
"Желең","Кең, жеңіл жұқа шапан.","Тауарлар","Балаларға арналған тауарлар","kk"
"Сырма","Арасына жүн не мақта салып немесе жай сырып тігілген сырт киім","Тауарлар","Балаларға арналған тауарлар","kk"
"Малақай","Балаларға арналған жылы бас киім, көбінесе қыс мезгілінде киіледі.","Тауарлар","Балаларға арналған тауарлар","kk"
"Пима","Жүннен басылған қысқы аяқ киім.","Тауарлар","Балаларға арналған тауарлар","kk"
"Құлақшын","Баланың құлағын қорғайтын жылы бас киім.","Тауарлар","Балаларға арналған тауарлар","kk"
"Белдік","Қайыстан, былғарыдан жасалған белбеу.","Тауарлар","Балаларға арналған тауарлар","kk"
"Белбеу","Киім сыртынан буылатын, былғарыдан, матадан жасалатын бұйым","Тауарлар","Балаларға арналған тауарлар","kk"
"Тұсау жіп","Қазақ дәстүріндегі тұсау кесу рәсімінде қолданылатын жіп.","Тауарлар","Балаларға арналған тауарлар","kk"
"Үкілі тақия","Үкілі – үкісі бар, үкіленген. Тақия – төбеге ғана киетін жеңіл, дөңгелек бас киім.","Тауарлар","Балаларға арналған тауарлар","kk"
"Тон","Иленген қой терісінен жүнін ішіне қаратып тіккен жылы, балаларға, үлкендерге арналған қыстық сырт киім.","Тауарлар","Балаларға арналған тауарлар","kk"
"Сылдырмақ","Сылдырлаған, сыңғырлаған дыбыс, үн шығару үшін (қоңырау, даңғара, асатаяқ, шолпы т. б.) заттарга тағылған сылдырауық, сылдырақ. 2. сәби ойыншығы.","Тауарлар","Балаларға арналған тауарлар","kk"
"Қоржын","Кеңсе тауарларын сақтауға арналған көп функционалды сөмке немесе қорап.","Тауарлар","Кеңсе тауарлары","kk"
"Таразы","Заттардың салмағын өлшеу үшін қолданылатын құрал.","Тауарлар","Кеңсе тауарлары","kk"
"Күміс қалам","Халықтық қолөнерде кең қолданылатын ақ түсті металл. Қалам – сиямен жазатын құрал.","Тауарлар","Кеңсе тауарлары","kk"
"Қоңырау","Металдан (мыстан) конус тәрізді етіп жасаған, ішінде тербеліп тұратын тілі бар, сол арқылы дыбыс шығаратын құрал.","Тауарлар","Кеңсе тауарлары","kk"
"Қосжол дәптер","Қос жолақпен жасалған дәптер, жазу үшін қолданылатын кеңсе тауары.","Тауарлар","Кеңсе тауарлары","kk"
"Ақ дәптер","Ақ түсті беттері бар жазуға арналған дәптер.","Тауарлар","Кеңсе тауарлары","kk"
"Құрышқалам","Жазуға арналған өте берік қалам.","Тауарлар","Кеңсе тауарлары","kk"
"Сыр қалам","Түрлі-түсті қарындаш.","Тауарлар","Кеңсе тауарлары","kk"
"Алмас қалам","Қымбат әрі сапалы қалам, ұзақ уақыт пайдалануға жарамды.","Тауарлар","Кеңсе тауарлары","kk"
"Айқалам","Жазу кезінде қолайлы қалам, әдетте сапалы материалдан жасалады.","Тауарлар","Кеңсе тауарлары","kk"
"Алтын сандық","Сандық – темір не ағаштан жасалған түрлі бұйым салатын зат. Кеңсе заттарын салатын, сый сандық түрі.","Тауарлар","Кеңсе тауарлары","kk"
"Ғалам шары","Дүниежүзі картасын көрсететін айналмалы глобус.","Тауарлар","Кеңсе тауарлары","kk"
"Оқушылар әлемі","Оқушыларға кеңсе тауарларын сататын дүкен атауы.","Тауарлар","Кеңсе тауарлары","kk"
"Сапалы сызба қағазы","Сызу немесе сурет салуға арналған жоғары сапалы қағаз.","Тауарлар","Кеңсе тауарлары","kk"
"Жазу дәптері","Мектеп оқушыларының жазба жұмыстарын орындауға арналған дәптер түрі.","Тауарлар","Кеңсе тауарлары","kk"
"Жазу қаламсабы","Жазу үшін қолданылатын негізгі қалам.","Тауарлар","Кеңсе тауарлары","kk"
"Кеңсе жабдықтары","Кеңсені жабдықтауға арналған техника, жиһаздар, құралдардың жалпы атауы.","Тауарлар","Кеңсе тауарлары","kk"
"Сызу құралдары","Сызғыш, циркуль, сызу керек-жарақтары.","Тауарлар","Кеңсе тауарлары","kk"
"Ықшамдәптер","Ықшам, шағын қойын дәптер.","Тауарлар","Кеңсе тауарлары","kk"
"Қаламсауыт","Жазу құралдарын (қалам, қарындаш, маркер, ұштағыш, өшіргіш және басқа да кеңсе тауарларын) сақтауға және жинақтап ұстауға арналған ыңғайлы контейнер немесе сауыт.","Тауарлар","Кеңсе тауарлары","kk"
"Сызғыш","Сызғыш – қағаз бетіне тура сызық түсіру үшін қолданылатын құрал.","Тауарлар","Кеңсе тауарлары","kk"
"Қалам сиясы","Қаламды толтыру үшін пайдаланылатын сия.","Тауарлар","Кеңсе тауарлары","kk"
"Ақ парақ","Жазуға арналған таза ақ қағаз.","Тауарлар","Кеңсе тауарлары","kk"
"Суретті жинақдәптер","Сурет – қарындашпен, қауырсынмен, бормен, бояумен салынған бейне. Жинақдәптер – сурет салуға, фотосурет жапсыруға немесе өлең жазуға арналған қалың дәптер.","Тауарлар","Кеңсе тауарлары","kk"
"Қағаз-қарындаш","Қағаз бен қарындаш жиынтығы, жазу немесе сурет салу үшін пайдаланылады.","Тауарлар","Кеңсе тауарлары","kk"
"Сызу аспаптары","Инструменттер – сызу жұмыстарын орындау үшін қолданылатын құралдар немесе құрылғылар.","Тауарлар","Кеңсе тауарлары","kk"
"Айыл-тартпа","Ертоқымды ат үстіне мықтап таңу үшін тартылатын ер тұрман әбзелі.","Тауарлар","Шаруашылық тауарлары","kk"
"Айыл-тұрман","Ер тоқымға қатысты (айыл, тартпалары мен басқа әбзел жабдықтар).","Тауарлар","Шаруашылық тауарлары","kk"
"Кепсер","Тесік ожау, кәкпір, майшолпы.","Тауарлар","Шаруашылық тауарлары","kk"
"Қобди","Ұсақ-түйек салатын кішкене жәшік, сандықша.","Тауарлар","Шаруашылық тауарлары","kk"
"Ат-арба","Ат және оған жегілген арба.","Тауарлар","Шаруашылық тауарлары","kk"
"Ат-жарақ","Қару-жарақ","Тауарлар","Шаруашылық тауарлары","kk"
"Ат-сайман","Аттарды жүгендеуге қажетті құралдар: ер-тоқым, қашау, жүйрік.","Тауарлар","Шаруашылық тауарлары","kk"
"Ат-ұлақ","Түйе, өгіз, ат көліктері.","Тауарлар","Шаруашылық тауарлары","kk"
"Арша","Қылқанжапырақты ағаштың түрі.","Тауарлар","Шаруашылық тауарлары","kk"
"Дүкерт","Өткір пышақ.","Тауарлар","Шаруашылық тауарлары","kk"
"Метей","Ағаштан жасалған кішкентай күбі, шелек.","Тауарлар","Шаруашылық тауарлары","kk"
"Өрнек","Заттың, бұйымның бетіне арнаулы құралмен салынған ою.","Тауарлар","Шаруашылық тауарлары","kk"
"Тарту","Шаруашылықтағы жұмыс үшін қолданылатын кұрал","Тауарлар","Шаруашылық тауарлары","kk"
"Адалбақан","Көп ашалы ағаштан жасалған киім ілетін зат.","Тауарлар","Шаруашылық тауарлары","kk"
"Аржа","Ұсақ-түйек құралдарды салып қоятын қобди.","Тауарлар","Шаруашылық тауарлары","kk"
"Бойра","Қамыстан тоқылған зат, бұйым.","Тауарлар","Шаруашылық тауарлары","kk"
"Ергенек","Киіз есіктің тосқауыл ағашы.","Тауарлар","Шаруашылық тауарлары","kk"
"Өрмек","Алаша, шекпен тоқу үшін қазыққа керіліп, желісі жерге реттеліп, тартылған тоқыма құралы.","Тауарлар","Шаруашылық тауарлары","kk"
"Зерен","Қымыз құятын ағаштан жасалған ыдыс.","Тауарлар","Шаруашылық тауарлары","kk"
"Кебеже","Өрнектеліп жасалған жәшіктің бір түрі.","Тауарлар","Шаруашылық тауарлары","kk"
"Кеукерін","Ою-өрнектермен және мүйіздермен безендірілген теріден жасалған ыдыс.","Тауарлар","Шаруашылық тауарлары","kk"
"Қылыш","Ауыл шаруашылығында немесе қорғаныс үшін қолданылатын өткір қару.","Тауарлар","Шаруашылық тауарлары","kk"
"Саба","Жүнін қырып, ысқа салып, жылқы терісінен жасалған негізінен қымыз ашытатын ыдыс.","Тауарлар","Шаруашылық тауарлары","kk"
"Сарнақ","Киіз үйдің ағашына сызық салатын темір.","Тауарлар","Шаруашылық тауарлары","kk"
"Тайқазан","Ірі мал еті сыйып кетерліктей үлкен қазан.","Тауарлар","Шаруашылық тауарлары","kk"
"Талыс","Құрал-саймандар салатын ыдыс.","Тауарлар","Шаруашылық тауарлары","kk"
"Сымтемір","Темірден жасалған жіңішке әрі ұзын зат.","Тауарлар","Шаруашылық тауарлары","kk"
"Андуа","Үй сылайтын темір қалақ.","Тауарлар","Шаруашылық тауарлары","kk"
"Ара","Ағаш кесетін темір аспап.","Тауарлар","Шаруашылық тауарлары","kk"
"Байтесе","Шот тәрізді ағаш шабатын құрал.","Тауарлар","Шаруашылық тауарлары","kk"
"Балғауыз","Шеге суыратын балға.","Тауарлар","Шаруашылық тауарлары","kk"
"Бұрғы","Ұшы өткір, бұрап отыратын көлденең ағаш сабы бар аспап.","Тауарлар","Шаруашылық тауарлары","kk"
"Құрал-жабдық","Құрал – белгілі бір іс, шаруашылық үшін қажетті аспап, сайман. Жабдық – керек-жарақ, әртүрлі құрал-сайман.","Тауарлар","Шаруашылық тауарлары","kk"
"Кәпеш","Қызылша қазатын күрек тәрізді еңбек құралы.","Тауарлар","Шаруашылық тауарлары","kk"
"Кеспек","Ағаш күбі, бөшке.","Тауарлар","Шаруашылық тауарлары","kk"
"Белорақ","Шөп шабатын құрал.","Тауарлар","Шаруашылық тауарлары","kk"
"Белтемір","Көлік доңғалағына көлденең бекітілетін темір.","Тауарлар","Шаруашылық тауарлары","kk"
"Алдаспан","Сабында көлденең салынған болат қалқасы бар семсер.","Тауарлар","Шаруашылық тауарлары","kk"
"Бау-басқұр","Киіз үйдің арқан жібі.","Тауарлар","Шаруашылық тауарлары","kk"
"Бау-шу","Киіз үй жабдықтарына тағылатын жіп-желең.","Тауарлар","Шаруашылық тауарлары","kk"
"Бұғау-құрық","Асау малды ұстап тұқыратып, жуасытып қолға үйрету үшін қажетті малшы қауымның құрал-саймандары: бұғауы, құрығы, арқаны т.б.","Тауарлар","Шаруашылық тауарлары","kk"
"Ер-сайман","Атқа міну және оған қызмет көрсету үшін қажет құралдар.","Тауарлар","Шаруашылық тауарлары","kk"
"Ер-тоқым","Салт атқа мініп жүруге лайықталған жабдықтардың бір түрі.","Тауарлар","Шаруашылық тауарлары","kk"
"Ер-тұрман","Ер-тоқымның жабдығы.","Тауарлар","Шаруашылық тауарлары","kk"
"Жабдық-жарақ","Шаруашылық жұмысында қолданылатын әртүрлі құрал жабдықтар.","Тауарлар","Шаруашылық тауарлары","kk"
"Жүген-құрық","Аттарды басқару үшін қолданылатын құралдар.","Тауарлар","Шаруашылық тауарлары","kk"
"Ноқта","Ауыздығы жоқ жүген тәрізді, мал басына кигізілетін ер-тұрман әбзелі.","Тауарлар","Шаруашылық тауарлары","kk"
"Шебер құралдар","Қолөнер немесе шаруашылық жұмыстарында пайдаланылатын құралдар.","Тауарлар","Шаруашылық тауарлары","kk"
"Алмас қылыш","Қымбат тастан жасалған жоғары сапалы қылыш.","Тауарлар","Шаруашылық тауарлары","kk"
"Айыл-тұрман","Атты жүгендеуге арналған қажетті жабдықтар.","Тауарлар","Шаруашылық тауарлары","kk"
"Арба","Арба – көлікке жегілетін төрт дөңгелекті, екі дертелі тасымал құралы.","Тауарлар","Шаруашылық тауарлары","kk"
"Ақжайма","Кірлік, жұқа төсеніш.","Тауарлар","Үйге арналған тауарлар","kk"
"Бүлде","Сапалы, қымбат кездеме.","Тауарлар","Үйге арналған тауарлар","kk"
"Мағыз","Көрпенің жиегі.","Тауарлар","Үйге арналған тауарлар","kk"
"Табақ","Үйге арналған әдемі, сәнді, ерекше стильдегі асүй және дастарқанға қажетті ас салатын бұйым.","Тауарлар","Үйге арналған тауарлар","kk"
"Жібек жастық","Жібек – беті тегіс, жылтыр, қымбат мата. Жастық – бастың астына қойып жату үшін қажетті үй бұйымы.","Тауарлар","Үйге арналған тауарлар","kk"
"Асыл кілем","Асыл – қымбат бағалы, құнды, таза. Кілем – жүн немесе мақта жіптен тоқылған үй бұйымы.","Тауарлар","Үйге арналған тауарлар","kk"
"Алтын ыдыс-аяқ","Алтын – аса құнды, бағалы, әдемi сары түсті металл. Ыдыс-аяқ – ішіне әртүрлі нәрселер салуға, ас-су құюға арналған тұрмыстық бұйымдар.","Тауарлар","Үйге арналған тауарлар","kk"
"Астау","Ағаштан ойып жасалған, ас салатын ыдыс.","Тауарлар","Үйге арналған тауарлар","kk"
"Шай сандық","Ұсақ-түйек бұйымдар мен әшекей-зергерлік бұйымдарды салатын сандық.","Тауарлар","Үйге арналған тауарлар","kk"
"Шымылдық","Ерлі-зайыптылардың жатарда тұсына ұстайтын, ақ матадан тігілетін перде.","Тауарлар","Үйге арналған тауарлар","kk"
"Металл ыдыстар","Шойыннан, алюминийден, жезден т.б. жасалатын ыдыс аяқ.","Тауарлар","Үйге арналған тауарлар","kk"
"Ұлттық ыдыс-аяқтар","Ұлттық – белгілі бір ұлтқа тән, ұлтқа қатысты; ұлт ерекшеліктерін көрсетеді. Ыдыс-аяқ – ішіне әртүрлі нәрселер салуға, ас-су құюға арналған тұрмыстық бұйымдар.","Тауарлар","Үйге арналған тауарлар","kk"
"Жатын бөлме жиһазы","Жатын бөлме – ұйықтау, демалу және тынығу үшін арнайы жасалған тұрғын үйдің бөлігі. Жиһаз – барлық керекті заттар, жабдықтар.","Тауарлар","Үйге арналған тауарлар","kk"
"Жималы жиһаз","Жималы – жиып қоюға болатын, жиналмалы жиһаз.","Тауарлар","Үйге арналған тауарлар","kk"
"Жиһаздық бұйым","Тұрғын үйлерде қолданылатын, адамдардың өмір сүруіне, жұмыс істеуіне, демалуына және тұруына жағдай жасайтын заттар.","Тауарлар","Үйге арналған тауарлар","kk"
"Жорық қазан-ошағы","Жорық – белгілі бір мақсатпен, әдетте ұзақ қашықтыққа жасалатын сапар немесе саяхат. Қазан-ошағы – қазақ халқының дәстүрлі ас дайындау үшін қолданылатын қарапайым пісіру құралы.","Тауарлар","Үйге арналған тауарлар","kk"
"Кәдесый жиынтығы","Кәде – қазақ халқының дәстүрлі қонақжайлылық дәстүрінде қонаққа ұсынатын сыйлық немесе құрмет белгісі. Сый - құрмет көрсету немесе мейірімділік белгісі ретінде берілетін зат. Жиынтық – бір нәрселердің жиналған қосындысы.","Тауарлар","Үйге арналған тауарлар","kk"
"Күнделікті тауар","Адамның күнделікті өмірінде жиі тұтынатын, күнделікті қажеттіліктерді қанағаттандыруға арналған тауарлар.","Тауарлар","Үйге арналған тауарлар","kk"
"Көрпе-жастық","Жастық, көрпе және ұйықтауға арналған заттар.","Тауарлар","Үйге арналған тауарлар","kk"
"Ыңғайлы жабдықтар","Үй шаруашылығына арналған күнделікті қажетті заттар.","Тауарлар","Үйге арналған тауарлар","kk"
"Жайлы дастарқан","Ас үстеліне арналған дастархан, ыдыс-аяқ және сервиздер.","Тауарлар","Үйге арналған тауарлар","kk"
"Тұмарлы ыдыс","Дастарқан мен асүй үшін ыдыс-аяқ жиынтықтары.","Тауарлар","Үйге арналған тауарлар","kk"
"Бөлме өсімдіктері","Тұрғын үйлерде әсемдік үшін ыдысқа отырғызып өсірілетін өсімдіктер.","Тауарлар","Үйге арналған тауарлар","kk"
"Бұйым, жабдық, керек-жарақ","Бұйым – мүлік, жиһаз, дүние, зат. Жабдық - үй ішінің дүние мүлкі. Керек-жарақ – қажетті заттар мен құрал жабдықтар","Тауарлар","Үйге арналған тауарлар","kk"
"Дастарқан жабдығы","Тамақ ішу үшін дастарқан үстін жабу және безендіру үшін қолданылатын заттар мен құралдар.","Тауарлар","Үйге арналған тауарлар","kk"
"Әбдіре","Үлкен ағаш сандық.","Тауарлар","Үйге арналған тауарлар","kk"
"Жұмсақ жиһаз","Адамға жайлылық пен ыңғайлы демалуды қамтамасыз ететін, көбіне жұмсақ материалдардан жасалған жиһаз түрлері.","Тауарлар","Үйге арналған тауарлар","kk"
"Ағаштөсек","Жатып тынығуға арналған, ағаштан жасалған жайлы жиһаз.","Тауарлар","Үйге арналған тауарлар","kk"
"Сырлы төсек","Қазақ халқының дәстүрлі жиһаздарының бірі. Ол негізінен көшпелі өмір салтына тән, ұйықтауға арналған, ағаштан немесе басқа да табиғи материалдардан жасалған төсек түрі.","Тауарлар","Үйге арналған тауарлар","kk"
"Күмістелген төсек","Сәнді, тарихи және дәстүрлі жиһаз түрі. Ол төсек құрылымының күмістелген материалдармен безендірілуі арқылы әдемілік пен мәртебе береді.","Тауарлар","Үйге арналған тауарлар","kk"
"Сүйектелген төсек","Ағаштан жасалып, сүйекпен әшекейленген, ерекше сәнмен безендірілген төсек түрі.","Тауарлар","Үйге арналған тауарлар","kk"
"Оюлы төсек","Ағаштан жасалып, қазақ халқының ұлттық өрнектерімен, яғни ою-өрнектермен безендірілген төсек түрі.","Тауарлар","Үйге арналған тауарлар","kk"
"Төсек Жиынтығы","Көрпе, жастық, төсектерге арналған сәнді және сапалы жиынтықтар.","Тауарлар","Үйге арналған тауарлар","kk"
"Сәнді жарықтар","Жарықтандыру лампалары, люстралар , шамдар.","Тауарлар","Үйге арналған тауарлар","kk"
"Сапалы ыдыс-аяқ","Асүйге арналған сапалы кастрөл, табақ, ыдыс-аяқ жиынтықтары.","Тауарлар","Үйге арналған тауарлар","kk"
"Кіреуке","Оқтан, найзадан қорғану үшін, жарыққа киетін темір сауыт.","Спорт","Спорт кешендері","kk"
"Берен","Сауыт, мылтық, асыл киім.","Спорт","Спорт кешендері","kk"
"Адырна","Садақтың ату міндетін атқаратын бөлігі.","Спорт","Спорт кешендері","kk"
"Жебе","Найзаның басындағы темірден жасалған түйрейтін бөлігі.","Спорт","Спорт кешендері","kk"
"Қылыш сарай","Қоян-қолтық айқаста кесу міндетін атқаратын қару.","Спорт","Спорт кешендері","kk"
"Алтын семсер","Бұл қарудың ертеде қолданған екі жүзді, түзу түрі.","Спорт","Спорт кешендері","kk"
"Алтын сапы","Алтын – қымбат, асыл металл. Сапы – семсер сияқты түзу, бірақ қылыш сияқты бір ғана жүзі бар түрі.","Спорт","Спорт кешендері","kk"
"Ақинақ","Көне сақ, сармат жауынгерлері қолданған қанжар және қысқа семсер.","Спорт","Спорт кешендері","kk"
"Наркескен","Болаттан соғылған екі жүзді алмас қылыш.","Спорт","Спорт кешендері","kk"
"Сайыс сарай","Күш сынасу.","Спорт","Спорт кешендері","kk"
"Дода","Көкпарға салынған серкені тартып алып тақымға басу үшін көкпаршылардың тартысқа түсуі.","Спорт","Спорт кешендері","kk"
"Алты алаш","Орталық Азия халықтарының ежелгі бірлестігі.","Спорт","Спорт кешендері","kk"
"Алаш жалауы","Алаш – бауырластар, қандастар, туыстар. Жалау – қалыпты түсті матадан істеліп, сап бекітілген ту. Елдік, тұтастық, бірлік, айбарлық деген бірнеше ұғымдарды жинақтайды.","Спорт","Спорт кешендері","kk"
"Сұлтан шыңы","Сұлтан – хан тұқымдарына тән мирасқорлық лауазым және сол лауазым иесі. Шың – таудың ұшар басы. Асқақ биікке ұмтылу.","Спорт","Спорт кешендері","kk"
"Дарабоз","Елден ерек озып шыққан. Яки барлығынан биік, мықты, ақылды.","Спорт","Спорт кешендері","kk"
"Шабандоз","Бәйге атына мініп шабатын, өнерлі (жігіт, бала).","Спорт","Спорт кешендері","kk"
"Жекпе-жек","Майдандағы үлкен шайқас алдында кәсіби әскерилердің, батырлардың жауынгерлерлік жеке ұрысы.","Спорт","Спорт кешендері","kk"
"Намыс","Адамның ар-ождан үні, рухани-құндылықтық сезімі.","Спорт","Спорт кешендері","kk"
"Бозкілем","Жасаңшөптер тұқымдасына жататын бір және көп жылдық өсімдіктер. Қазақ ұғымында бозкілем көбіне күреске, күш сынасуға қолданылады.","Спорт","Спорт кешендері","kk"
"Бәйге","Қазақ халқының ерте заманнан келе жатқан ат жарыстыратын дәстүрлі ұлттық спорт ойындарының бір түрі, ат шабысы.","Спорт","Спорт кешендері","kk"
"Алмауыт","1. Үлкен, қайратты, қажырлы. 2. зат. Алыс жолға, жорық жортуылға мінілетін арқалы ат, тұлпар ат.","Спорт","Спорт кешендері","kk"
"Алтүздік","Жарыста көмбеден шыға суырылып алдыға шығатын жүйірік.","Спорт","Спорт кешендері","kk"
"Алып","Алып, батыр.","Спорт","Спорт кешендері","kk"
"Тарлан","Тарғыл, шұбар түсті тау бүркіті.","Спорт","Спорт кешендері","kk"
"Ажарлан","Өңi кіру, құлпыру, түрлену, жайнау, әдемілену Өңін кіргізу, сәнін келтіру.","Спорт","Фитнес клубтары","kk"
"Нұр шырай","Нұр – жарық, сәуле, шұғыла. Шырай – адамның көркі, өңі, ажары. Көрікті, келбетті.","Спорт","Фитнес клубтары","kk"
"Құлпыр","Жаңарып, жайнау, ерекше әсем көрініске ену.","Спорт","Фитнес клубтары","kk"
"Көріктен","Ажарлану, рең кіру. Көріктен әсемдікке ұмтыл, келбетіңді сақта деген мағынада.","Спорт","Фитнес клубтары","kk"
"Әрлі","Әдемі, көрікті, сұлу.","Спорт","Фитнес клубтары","kk"
"Сабаз","Ер адамға тән мінезді, мақтаулы азамат.","Спорт","Фитнес клубтары","kk"
"Азулы","Ешкімді бет қаратпайтын өткір.","Спорт","Фитнес клубтары","kk"
"Айбарлы","Айбары күшті, қаһарлы, сұсты.","Спорт","Фитнес клубтары","kk"
"Айбатты","Қаhаpлы, сұсты, айбынды, күшті, айбаpлы.","Спорт","Фитнес клубтары","kk"
"Айбынды","Айбатты, айбары күшті, қаһарлы, сұсты.","Спорт","Фитнес клубтары","kk"
"Мінсіз","Біреудің, бір нәрсенің бойындағы кем-кетік, кемшілік. Мінсіз ешқандай кемістігі жоқ тәбиғатынан таңдалған тұлға.","Спорт","Фитнес клубтары","kk"
"Аққу мойын","Нәзік, үлбіреген жібектей, сұңғақ мойын.","Спорт","Фитнес клубтары","kk"
"Шыңдалу","Өз-өзіңді шыңдау мен жетілдіру.","Спорт","Фитнес клубтары","kk"
"Денсаулық ордасы","Денсаулық – адам ағзасының қалыпты жағдайы, есен саулық, ауру-сырқаудан аман болушылық. Орда – хан сарайы.","Спорт","Фитнес клубтары","kk"
"Сымбат","Әдемі дене мүсіні.","Спорт","Фитнес клубтары","kk"
"Тұлпар","Ұзақ сапар, ауыр шайқастарда батырлар мінген асқан жүйрік; дүлдүл. Ауыспалы мағынада – жылдамдық пен күштің символы.","Спорт","Фитнес клубтары","kk"
"Жасампаздық","Еңбекте, өмірде жаңалық атаулыны қалыптастырушылық.","Спорт","Фитнес клубтары","kk"
"Самғау","Асқақтап биікке ұмтылу.","Спорт","Фитнес клубтары","kk"
"Жеңіс","Табыс пен жетістіктің символы.","Спорт","Фитнес клубтары","kk"
"Алға","Өрлеу мен даму.","Спорт","Фитнес клубтары","kk"
"Шыңға шығу","Биікке талпыну.","Спорт","Фитнес клубтары","kk"
"Мәртебе","Абырой-атақ, даңқ, дәреже.","Спорт","Фитнес клубтары","kk"
"Тасқын","Арнасынан асып көтеріліп, тасып жайылған су, сел. Ауыспалы мағынада – энергия мен күш ағыны.","Спорт","Фитнес клубтары","kk"
"Құрыш","Болаттың берік түрі. Мықтылық пен төзімділік.","Спорт","Фитнес клубтары","kk"
"Жалын","1. Жанған оттың лапылы; алау 2. Қуат пен жігердің белгісі","Спорт","Фитнес клубтары","kk"
"Жігер","Ішкі қайрат пен ынта.","Спорт","Фитнес клубтары","kk"
"Салтанат","Ауыс. айбындылық, жарқыл, әсемдік, асқан әдемілік.","Спорт","Фитнес клубтары","kk"
"Мұзтау","Мұхит пен теңізде жүзіп жүретін немесе қайырлап шөккен аса ірі мұз кесегі, айсберг.","Спорт","Фитнес клубтары","kk"
"Шығыс жұлдызы","Шығыс – Жер шарының төрт жағының бірі, күн шығатын жақ. Жұлдыз – түнде көк жүзінде көрінетін аспан денелерінің атауы.","Спорт","Фитнес клубтары","kk"
"Дала қырандары","Дала – кең байтақ жазық жер. Қыран – бүркіт, қаршыға, қырғи сияқты алғыр құстардың жалпы атауы.","Спорт","Фитнес клубтары","kk"
"Мықты","Төзімділік пен күш.","Спорт","Фитнес клубтары","kk"
"Найзағай","Жауын-шашын кезінде ауада жиналған электр зарядтарының бір- біріне соқтығуынан пайда болатын күшті жарқыл; жай.","Спорт","Фитнес клубтары","kk"
"Жұлдызды шақ","Өз өміріңді жарқырата түсу.","Спорт","Фитнес клубтары","kk"
"Таутеке","Жабайы ешкінің еркегі, текесі. Ширақтық пен күш","Спорт","Фитнес клубтары","kk"
"Желтау","Жел – кейде қатты, кейде баяу соғатын ауа ағымы. Тау -- Жер бетінен жоғары, көтеріңкі өркештене тізбектеліп, созылып жатқан құзды, құзартты биіктік. Табиғаттың жігері мен күші.","Спорт","Фитнес клубтары","kk"
"Саф ауа","Саф – қоспасыз, тап-таза; таза, кіршіксіз, мөлдip. Ауа -- тыныс алуға, тіршілікке аса қажетті, түссіз, иіссіз зат. Денсаулық пен тазалық белгісі.","Спорт","Фитнес клубтары","kk"
